"PupID","MomID","Birthday","Sex","PND","PupMass_g","MomMass_g","ForearmLength_mm","Year"
"Pink101","Orange14",2024-06-08,"M",2,4.68,26.13,18.8,2024
"Pink101","Orange14",2024-06-08,"M",3,5.25,26.25,20.8,2024
"Pink101","Orange14",2024-06-08,"M",4,6.09,25.52,21.5,2024
"Pink101","Orange14",2024-06-08,"M",5,6.85,25.97,22.8,2024
"Pink101","Orange14",2024-06-08,"M",6,7.31,27.18,26.3,2024
"Pink101","Orange14",2024-06-08,"M",7,8.51,27.51,25.3,2024
"Pink101","Orange14",2024-06-08,"M",8,9.16,25.5,28.55,2024
"Pink101","Orange14",2024-06-08,"M",9,10.1,26.81,29.7,2024
"Pink101","Orange14",2024-06-08,"M",10,10.96,25.55,30.6,2024
"Pink101","Orange14",2024-06-08,"M",11,11.51,26.51,32.85,2024
"Pink101","Orange14",2024-06-08,"M",12,12.23,27.85,34.3,2024
"Pink101","Orange14",2024-06-08,"M",13,13,27.4,35.25,2024
"Pink101","Orange14",2024-06-08,"M",14,13.53,26.72,37,2024
"Pink101","Orange14",2024-06-08,"M",15,13.9,28.68,38,2024
"Pink101","Orange14",2024-06-08,"M",16,14.63,30.71,39.3,2024
"Pink101","Orange14",2024-06-08,"M",17,15.29,27.53,40.1,2024
"Pink101","Orange14",2024-06-08,"M",18,15.13,23.79,40.3,2024
"Pink101","Orange14",2024-06-08,"M",19,15,25.43,41.15,2024
"Pink101","Orange14",2024-06-08,"M",20,14.6,22.68,42.3,2024
"Pink101","Orange14",2024-06-08,"M",21,14.42,21.28,42.1,2024
"Pink101","Orange14",2024-06-08,"M",22,14.42,20.71,42.2,2024
"Pink101","Orange14",2024-06-08,"M",23,14.09,22.24,42.75,2024
"Pink101","Orange14",2024-06-08,"M",24,13.24,19.11,43,2024
"Pink101","Orange14",2024-06-08,"M",25,15.57,19.22,43.3,2024
"Pink101","Orange14",2024-06-08,"M",26,17.24,18.78,44,2024
"Pink101","Orange14",2024-06-08,"M",27,19.29,18.71,43.7,2024
"Pink101","Orange14",2024-06-08,"M",28,19.19,19.02,43.4,2024
"Pink101","Orange14",2024-06-08,"M",29,20.57,20.92,43.6,2024
"Pink101","Orange14",2024-06-08,"M",30,21.19,19.57,43.85,2024
"Pink102","Orange14",2024-06-08,"M",0,NA,NA,NA,2024
"Pink102","Orange14",2024-06-08,"M",1,NA,NA,NA,2024
"Pink102","Orange14",2024-06-08,"M",2,4.82,26.13,18.9,2024
"Pink102","Orange14",2024-06-08,"M",3,5.34,26.25,19.35,2024
"Pink102","Orange14",2024-06-08,"M",4,6.21,25.52,21.2,2024
"Pink102","Orange14",2024-06-08,"M",5,7.02,25.97,21.85,2024
"Pink102","Orange14",2024-06-08,"M",6,8.37,27.18,24.45,2024
"Pink102","Orange14",2024-06-08,"M",7,8.8,27.51,25.85,2024
"Pink102","Orange14",2024-06-08,"M",8,9.5,25.5,27.45,2024
"Pink102","Orange14",2024-06-08,"M",9,10.23,26.81,29.2,2024
"Pink102","Orange14",2024-06-08,"M",10,11.04,25.55,30.55,2024
"Pink102","Orange14",2024-06-08,"M",11,11.63,26.51,32.05,2024
"Pink102","Orange14",2024-06-08,"M",12,12.41,27.85,33.2,2024
"Pink102","Orange14",2024-06-08,"M",13,12.88,27.4,35,2024
"Pink102","Orange14",2024-06-08,"M",14,13.7,26.72,36.15,2024
"Pink102","Orange14",2024-06-08,"M",15,13.88,28.68,37.05,2024
"Pink102","Orange14",2024-06-08,"M",16,14.53,30.71,38.1,2024
"Pink102","Orange14",2024-06-08,"M",17,14.86,27.53,38.4,2024
"Pink102","Orange14",2024-06-08,"M",18,14.45,23.79,39.1,2024
"Pink102","Orange14",2024-06-08,"M",19,14.59,25.43,39.5,2024
"Pink102","Orange14",2024-06-08,"M",20,14.24,22.68,39.8,2024
"Pink102","Orange14",2024-06-08,"M",21,14.12,21.28,40.3,2024
"Pink102","Orange14",2024-06-08,"M",22,14.2,20.71,40.3,2024
"Pink102","Orange14",2024-06-08,"M",23,14.87,22.24,40.7,2024
"Pink102","Orange14",2024-06-08,"M",24,14.88,19.11,40.9,2024
"Pink102","Orange14",2024-06-08,"M",25,16.25,19.22,41,2024
"Pink102","Orange14",2024-06-08,"M",26,17.3,18.78,41.1,2024
"Pink102","Orange14",2024-06-08,"M",27,18.38,18.71,41.3,2024
"Pink102","Orange14",2024-06-08,"M",28,17.71,19.02,41.3,2024
"Pink102","Orange14",2024-06-08,"M",29,18.23,20.92,41.25,2024
"Pink102","Orange14",2024-06-08,"M",30,18.65,19.57,41.4,2024
"Pink53","Orange19",2024-06-09,"M",0,NA,NA,NA,2024
"Pink53","Orange19",2024-06-09,"M",1,NA,NA,NA,2024
"Pink53","Orange19",2024-06-09,"M",2,4.81,26.63,19.65,2024
"Pink53","Orange19",2024-06-09,"M",3,5.42,27.17,20,2024
"Pink53","Orange19",2024-06-09,"M",4,6.14,28.14,21.3,2024
"Pink53","Orange19",2024-06-09,"M",5,7.19,29.46,22.85,2024
"Pink53","Orange19",2024-06-09,"M",6,7.84,27.24,24.65,2024
"Pink53","Orange19",2024-06-09,"M",7,8.76,27.11,26.85,2024
"Pink53","Orange19",2024-06-09,"M",8,9.4,27.74,27.55,2024
"Pink53","Orange19",2024-06-09,"M",9,9.8,28.34,29.7,2024
"Pink53","Orange19",2024-06-09,"M",10,10.63,28.07,31.4,2024
"Pink53","Orange19",2024-06-09,"M",11,10.98,27.06,33.1,2024
"Pink53","Orange19",2024-06-09,"M",12,11.48,26.2,34.05,2024
"Pink53","Orange19",2024-06-09,"M",13,12.05,25.9,35.4,2024
"Pink53","Orange19",2024-06-09,"M",14,12.17,25.97,36.6,2024
"Pink53","Orange19",2024-06-09,"M",15,12.66,25.9,37.8,2024
"Pink53","Orange19",2024-06-09,"M",16,12.68,23.78,39.1,2024
"Pink53","Orange19",2024-06-09,"M",17,12.95,25.54,39.9,2024
"Pink53","Orange19",2024-06-09,"M",18,12.9,24.24,40.8,2024
"Pink53","Orange19",2024-06-09,"M",19,13.28,24.52,41.2,2024
"Pink53","Orange19",2024-06-09,"M",20,13.5,24.9,42,2024
"Pink53","Orange19",2024-06-09,"M",21,13.47,24.06,42.25,2024
"Pink53","Orange19",2024-06-09,"M",22,13.3,24.02,42.5,2024
"Pink53","Orange19",2024-06-09,"M",23,13.68,23.48,43.1,2024
"Pink53","Orange19",2024-06-09,"M",24,13.63,24.34,42.8,2024
"Pink53","Orange19",2024-06-09,"M",25,13.06,22.44,43,2024
"Pink53","Orange19",2024-06-09,"M",26,15.64,23.88,43.25,2024
"Pink53","Orange19",2024-06-09,"M",27,16.48,22.41,43.4,2024
"Pink53","Orange19",2024-06-09,"M",28,18.19,20.43,43.5,2024
"Pink53","Orange19",2024-06-09,"M",29,18.06,22.72,43.65,2024
"Pink53","Orange19",2024-06-09,"M",30,18.64,25.48,43.8,2024
"Pink54","Orange19",2024-06-09,"F",0,NA,NA,NA,2024
"Pink54","Orange19",2024-06-09,"F",1,NA,NA,NA,2024
"Pink54","Orange19",2024-06-09,"F",2,4.57,26.63,18.2,2024
"Pink54","Orange19",2024-06-09,"F",3,5.12,27.17,18.5,2024
"Pink54","Orange19",2024-06-09,"F",4,5.86,28.14,20.85,2024
"Pink54","Orange19",2024-06-09,"F",5,6.55,29.46,22.05,2024
"Pink54","Orange19",2024-06-09,"F",6,7.33,27.24,24.8,2024
"Pink54","Orange19",2024-06-09,"F",7,8.2,27.11,25.6,2024
"Pink54","Orange19",2024-06-09,"F",8,8.99,27.74,27.35,2024
"Pink54","Orange19",2024-06-09,"F",9,9.59,28.34,28.15,2024
"Pink54","Orange19",2024-06-09,"F",10,10.42,28.07,30.3,2024
"Pink54","Orange19",2024-06-09,"F",11,10.89,27.06,31.85,2024
"Pink54","Orange19",2024-06-09,"F",12,11.52,26.2,33.15,2024
"Pink54","Orange19",2024-06-09,"F",13,11.95,25.9,34.45,2024
"Pink54","Orange19",2024-06-09,"F",14,12.51,25.97,35.85,2024
"Pink54","Orange19",2024-06-09,"F",15,12.91,25.9,37.35,2024
"Pink54","Orange19",2024-06-09,"F",16,12.88,23.78,38.3,2024
"Pink54","Orange19",2024-06-09,"F",17,13.45,25.54,38.75,2024
"Pink54","Orange19",2024-06-09,"F",18,13.61,24.24,39.6,2024
"Pink54","Orange19",2024-06-09,"F",19,13.8,24.52,40.65,2024
"Pink54","Orange19",2024-06-09,"F",20,14.39,24.9,40.8,2024
"Pink54","Orange19",2024-06-09,"F",21,14.89,24.06,41.6,2024
"Pink54","Orange19",2024-06-09,"F",22,14.75,24.02,42,2024
"Pink54","Orange19",2024-06-09,"F",23,14.92,23.48,42.1,2024
"Pink54","Orange19",2024-06-09,"F",24,14.85,24.34,42.3,2024
"Pink54","Orange19",2024-06-09,"F",25,13.78,22.44,42.55,2024
"Pink54","Orange19",2024-06-09,"F",26,14.52,23.88,42.6,2024
"Pink54","Orange19",2024-06-09,"F",27,13.99,22.41,42.5,2024
"Pink54","Orange19",2024-06-09,"F",28,13.66,20.43,42.8,2024
"Pink54","Orange19",2024-06-09,"F",29,14.02,22.72,42.8,2024
"Pink54","Orange19",2024-06-09,"F",30,15.02,25.48,42.8,2024
"Pink103","Orange26",2024-06-10,"F",0,NA,NA,NA,2024
"Pink103","Orange26",2024-06-10,"F",1,NA,NA,NA,2024
"Pink103","Orange26",2024-06-10,"F",2,4.29,24.4,19.25,2024
"Pink103","Orange26",2024-06-10,"F",3,4.92,22.99,20.05,2024
"Pink103","Orange26",2024-06-10,"F",4,5.57,22.87,21.8,2024
"Pink103","Orange26",2024-06-10,"F",5,5.94,23.01,22.35,2024
"Pink103","Orange26",2024-06-10,"F",6,6.74,22.29,23.95,2024
"Pink103","Orange26",2024-06-10,"F",7,7.41,22.49,26.75,2024
"Pink103","Orange26",2024-06-10,"F",8,7.89,21.91,28.1,2024
"Pink103","Orange26",2024-06-10,"F",9,8.38,24.03,29.65,2024
"Pink103","Orange26",2024-06-10,"F",10,8.86,22.08,30.45,2024
"Pink103","Orange26",2024-06-10,"F",11,8.98,22.19,32.7,2024
"Pink103","Orange26",2024-06-10,"F",12,9.32,21.28,33.6,2024
"Pink103","Orange26",2024-06-10,"F",13,9.8,22.31,34.65,2024
"Pink103","Orange26",2024-06-10,"F",14,9.83,22.26,35.9,2024
"Pink103","Orange26",2024-06-10,"F",15,10.22,22.05,36.6,2024
"Pink103","Orange26",2024-06-10,"F",16,10.62,22.08,37.6,2024
"Pink103","Orange26",2024-06-10,"F",17,10.77,22.14,38.85,2024
"Pink103","Orange26",2024-06-10,"F",18,10.82,19.97,39.3,2024
"Pink103","Orange26",2024-06-10,"F",19,10.94,21.18,39.6,2024
"Pink103","Orange26",2024-06-10,"F",20,11.23,19.78,39.85,2024
"Pink103","Orange26",2024-06-10,"F",21,11.04,21.81,41,2024
"Pink103","Orange26",2024-06-10,"F",22,10.99,20.56,41.1,2024
"Pink103","Orange26",2024-06-10,"F",23,11.22,21.17,41.25,2024
"Pink103","Orange26",2024-06-10,"F",24,11.5,20.29,41.2,2024
"Pink103","Orange26",2024-06-10,"F",25,11.86,20.72,41.7,2024
"Pink103","Orange26",2024-06-10,"F",26,12.14,23.1,42.25,2024
"Pink103","Orange26",2024-06-10,"F",27,12.37,23.81,42.2,2024
"Pink103","Orange26",2024-06-10,"F",28,12.38,21.7,42.25,2024
"Pink103","Orange26",2024-06-10,"F",29,12.52,22.48,42.3,2024
"Pink103","Orange26",2024-06-10,"F",30,12.66,21.73,42.4,2024
"Orange26_male","Orange26",2024-06-10,"M",0,NA,NA,NA,2024
"Orange26_male","Orange26",2024-06-10,"M",1,NA,NA,NA,2024
"Orange26_male","Orange26",2024-06-10,"M",2,4.33,24.4,18.8,2024
"Orange26_male","Orange26",2024-06-10,"M",3,4.98,22.99,20.25,2024
"Orange26_male","Orange26",2024-06-10,"M",4,5.72,22.87,21.35,2024
"Orange26_male","Orange26",2024-06-10,"M",5,6.03,23.01,22.85,2024
"Orange26_male","Orange26",2024-06-10,"M",6,6.88,22.29,24.55,2024
"Orange26_male","Orange26",2024-06-10,"M",7,7.57,22.49,25.75,2024
"Orange26_male","Orange26",2024-06-10,"M",8,8.08,21.91,28.05,2024
"Orange26_male","Orange26",2024-06-10,"M",9,8.71,24.03,28.9,2024
"Orange26_male","Orange26",2024-06-10,"M",10,9.18,22.08,30.15,2024
"Orange26_male","Orange26",2024-06-10,"M",11,8.62,22.19,31.7,2024
"Orange26_male","Orange26",2024-06-10,"M",12,9.39,21.28,32,2024
"Orange26_male","Orange26",2024-06-10,"M",13,9.68,22.31,32.9,2024
"Orange26_male","Orange26",2024-06-10,"M",14,9.54,22.26,33.6,2024
"Orange26_male","Orange26",2024-06-10,"M",15,9.92,22.05,34.8,2024
"Orange26_male","Orange26",2024-06-10,"M",16,10.54,22.08,35.7,2024
"Orange26_male","Orange26",2024-06-10,"M",17,10.21,22.14,36.4,2024
"Orange26_male","Orange26",2024-06-10,"M",18,10.2,19.97,36.7,2024
"Orange26_male","Orange26",2024-06-10,"M",19,10.55,21.18,37.1,2024
"Orange26_male","Orange26",2024-06-10,"M",20,9.86,19.78,37.8,2024
"Orange26_male","Orange26",2024-06-10,"M",21,9.98,21.81,38.4,2024
"Orange26_male","Orange26",2024-06-10,"M",22,10.39,20.56,38.2,2024
"Pink51","Orange30",2024-06-07,"M",0,NA,NA,NA,2024
"Pink51","Orange30",2024-06-07,"M",1,NA,NA,NA,2024
"Pink51","Orange30",2024-06-07,"M",2,4.25,29.02,NA,2024
"Pink51","Orange30",2024-06-07,"M",3,5.06,29.6,18.55,2024
"Pink51","Orange30",2024-06-07,"M",4,5.67,29.71,21.05,2024
"Pink51","Orange30",2024-06-07,"M",5,6.24,30.42,22,2024
"Pink51","Orange30",2024-06-07,"M",6,7.09,31.83,23.4,2024
"Pink51","Orange30",2024-06-07,"M",7,8.19,34.06,25,2024
"Pink51","Orange30",2024-06-07,"M",8,8.72,32.21,26.4,2024
"Pink51","Orange30",2024-06-07,"M",9,9.52,30.67,27.8,2024
"Pink51","Orange30",2024-06-07,"M",10,10.55,32.02,30.4,2024
"Pink51","Orange30",2024-06-07,"M",11,10.8,33.21,32.3,2024
"Pink51","Orange30",2024-06-07,"M",12,11.83,32.72,34.15,2024
"Pink51","Orange30",2024-06-07,"M",13,12.38,33.2,34.8,2024
"Pink51","Orange30",2024-06-07,"M",14,13.17,31.02,37.05,2024
"Pink51","Orange30",2024-06-07,"M",15,13.47,32.95,37.75,2024
"Pink51","Orange30",2024-06-07,"M",16,13.91,33.43,38.9,2024
"Pink51","Orange30",2024-06-07,"M",17,14.44,33.13,39.15,2024
"Pink51","Orange30",2024-06-07,"M",18,15.21,31.22,40.1,2024
"Pink51","Orange30",2024-06-07,"M",19,15.52,34.45,41,2024
"Pink51","Orange30",2024-06-07,"M",20,16.26,32.35,41.85,2024
"Pink51","Orange30",2024-06-07,"M",21,16.18,31.35,42,2024
"Pink51","Orange30",2024-06-07,"M",22,16.23,32.43,42.25,2024
"Pink51","Orange30",2024-06-07,"M",23,16.42,32.24,43,2024
"Pink51","Orange30",2024-06-07,"M",24,16.54,30.96,43,2024
"Pink51","Orange30",2024-06-07,"M",25,16.37,31.89,43.25,2024
"Pink51","Orange30",2024-06-07,"M",26,16.55,29.89,43.1,2024
"Pink51","Orange30",2024-06-07,"M",27,15.82,26.89,43.4,2024
"Pink51","Orange30",2024-06-07,"M",28,18.93,28.49,43.8,2024
"Pink51","Orange30",2024-06-07,"M",29,19.1,27.74,44,2024
"Pink51","Orange30",2024-06-07,"M",30,20.25,24.72,44.25,2024
"Pink52","Orange30",2024-06-07,"F",0,NA,NA,NA,2024
"Pink52","Orange30",2024-06-07,"F",1,NA,NA,NA,2024
"Pink52","Orange30",2024-06-07,"F",2,4.41,29.02,17.6,2024
"Pink52","Orange30",2024-06-07,"F",3,5.12,29.6,19.35,2024
"Pink52","Orange30",2024-06-07,"F",4,5.89,29.71,20.7,2024
"Pink52","Orange30",2024-06-07,"F",5,6.28,30.42,22.35,2024
"Pink52","Orange30",2024-06-07,"F",6,7.49,31.83,23.6,2024
"Pink52","Orange30",2024-06-07,"F",7,8.19,34.06,25.45,2024
"Pink52","Orange30",2024-06-07,"F",8,8.87,32.21,26.55,2024
"Pink52","Orange30",2024-06-07,"F",9,9.93,30.67,28.6,2024
"Pink52","Orange30",2024-06-07,"F",10,10.56,32.02,30.2,2024
"Pink52","Orange30",2024-06-07,"F",11,11.2,33.21,32,2024
"Pink52","Orange30",2024-06-07,"F",12,12.31,32.72,33.85,2024
"Pink52","Orange30",2024-06-07,"F",13,12.72,33.2,35.6,2024
"Pink52","Orange30",2024-06-07,"F",14,13.6,31.02,37.25,2024
"Pink52","Orange30",2024-06-07,"F",15,14.76,32.95,38,2024
"Pink52","Orange30",2024-06-07,"F",16,14.88,33.43,39.3,2024
"Pink52","Orange30",2024-06-07,"F",17,15.53,33.13,40.2,2024
"Pink52","Orange30",2024-06-07,"F",18,16.23,31.22,40.8,2024
"Pink52","Orange30",2024-06-07,"F",19,16.66,34.45,42.1,2024
"Pink52","Orange30",2024-06-07,"F",20,18.13,32.35,43.1,2024
"Pink52","Orange30",2024-06-07,"F",21,18.43,31.35,43.15,2024
"Pink52","Orange30",2024-06-07,"F",22,17.74,32.43,43.75,2024
"Pink52","Orange30",2024-06-07,"F",23,18.16,32.24,44.4,2024
"Pink52","Orange30",2024-06-07,"F",24,18.07,30.96,NA,2024
"Pink52","Orange30",2024-06-07,"F",25,18.46,31.89,44.8,2024
"Pink52","Orange30",2024-06-07,"F",26,17.77,29.89,44.8,2024
"Pink52","Orange30",2024-06-07,"F",27,19.85,26.89,44.9,2024
"Pink52","Orange30",2024-06-07,"F",28,21.24,28.49,45,2024
"Pink52","Orange30",2024-06-07,"F",29,22.17,27.74,45.2,2024
"Pink52","Orange30",2024-06-07,"F",30,23.23,24.72,45.1,2024
"Pink60","Orange29",2024-06-07,"M",0,NA,NA,NA,2024
"Pink60","Orange29",2024-06-07,"M",1,3.2,NA,11.75,2024
"Pink60","Orange29",2024-06-07,"M",2,3.3,24.04,16.7,2024
"Pink60","Orange29",2024-06-07,"M",3,3.94,24.16,18.3,2024
"Pink60","Orange29",2024-06-07,"M",4,4.34,23.18,19.45,2024
"Pink60","Orange29",2024-06-07,"M",5,4.6,24.08,20.7,2024
"Pink60","Orange29",2024-06-07,"M",6,5.53,23.01,21.45,2024
"Pink60","Orange29",2024-06-07,"M",7,5.87,23.56,22.45,2024
"Pink60","Orange29",2024-06-07,"M",8,6.46,24.22,23.05,2024
"Pink60","Orange29",2024-06-07,"M",9,7.13,23.65,26.5,2024
"Pink60","Orange29",2024-06-07,"M",10,7.67,24.31,26.5,2024
"Pink60","Orange29",2024-06-07,"M",11,7.8,23.74,28.9,2024
"Pink60","Orange29",2024-06-07,"M",12,8.76,23.34,29.6,2024
"Pink60","Orange29",2024-06-07,"M",13,9.21,24.47,30.2,2024
"Pink60","Orange29",2024-06-07,"M",14,9.41,23.98,31.9,2024
"Pink60","Orange29",2024-06-07,"M",15,9.76,24.85,32.8,2024
"Pink60","Orange29",2024-06-07,"M",16,10.32,23.86,34.4,2024
"Pink60","Orange29",2024-06-07,"M",17,10.6,26.39,35,2024
"Pink60","Orange29",2024-06-07,"M",18,11.14,25.15,35.5,2024
"Pink60","Orange29",2024-06-07,"M",19,10.92,26.78,36.2,2024
"Pink60","Orange29",2024-06-07,"M",20,11.48,25.47,36.9,2024
"Pink60","Orange29",2024-06-07,"M",21,11.53,27.64,37.2,2024
"Pink60","Orange29",2024-06-07,"M",22,11.6,26.78,38.3,2024
"Pink60","Orange29",2024-06-07,"M",23,11.92,23.68,38.35,2024
"Pink60","Orange29",2024-06-07,"M",24,11.84,26.57,38.35,2024
"Pink60","Orange29",2024-06-07,"M",25,12.3,26.49,38.55,2024
"Pink60","Orange29",2024-06-07,"M",26,12.44,25.17,39.35,2024
"Pink60","Orange29",2024-06-07,"M",27,12.07,25.82,40,2024
"Pink60","Orange29",2024-06-07,"M",28,14.05,25.4,39.4,2024
"Pink60","Orange29",2024-06-07,"M",29,13.46,26.12,39.7,2024
"Pink60","Orange29",2024-06-07,"M",30,14.76,26.01,39.85,2024
"Pink61","Orange29",2024-06-07,"M",0,NA,NA,NA,2024
"Pink61","Orange29",2024-06-07,"M",1,NA,NA,NA,2024
"Pink61","Orange29",2024-06-07,"M",2,4,24.04,18,2024
"Pink61","Orange29",2024-06-07,"M",3,3.89,24.16,19,2024
"Pink61","Orange29",2024-06-07,"M",4,3.85,23.18,18.4,2024
"Pink61","Orange29",2024-06-07,"M",5,4.42,24.08,19.3,2024
"Pink61","Orange29",2024-06-07,"M",6,5.07,23.01,21.75,2024
"Pink61","Orange29",2024-06-07,"M",7,5.84,23.56,22.55,2024
"Pink61","Orange29",2024-06-07,"M",8,6.56,24.22,22.35,2024
"Pink61","Orange29",2024-06-07,"M",9,6.9,23.65,25.1,2024
"Pink61","Orange29",2024-06-07,"M",10,7.54,24.31,25.55,2024
"Pink61","Orange29",2024-06-07,"M",11,8.11,23.74,27.25,2024
"Pink61","Orange29",2024-06-07,"M",12,8.25,23.34,28,2024
"Pink61","Orange29",2024-06-07,"M",13,8.8,24.47,29.65,2024
"Pink61","Orange29",2024-06-07,"M",14,9.28,23.98,30.4,2024
"Pink61","Orange29",2024-06-07,"M",15,9.4,24.85,31.3,2024
"Pink61","Orange29",2024-06-07,"M",16,10.05,23.86,32.5,2024
"Pink61","Orange29",2024-06-07,"M",17,10.66,26.39,33.35,2024
"Pink61","Orange29",2024-06-07,"M",18,10.79,25.15,34.25,2024
"Pink61","Orange29",2024-06-07,"M",19,11.16,26.78,35.3,2024
"Pink61","Orange29",2024-06-07,"M",20,11.66,25.47,35.75,2024
"Pink61","Orange29",2024-06-07,"M",21,11.17,27.64,36.3,2024
"Pink61","Orange29",2024-06-07,"M",22,11.72,26.78,36.85,2024
"Pink61","Orange29",2024-06-07,"M",23,11.88,23.68,37.1,2024
"Pink61","Orange29",2024-06-07,"M",24,11.59,26.57,37.2,2024
"Pink61","Orange29",2024-06-07,"M",25,11.64,26.49,37.5,2024
"Pink61","Orange29",2024-06-07,"M",26,13.5,25.17,37.7,2024
"Pink61","Orange29",2024-06-07,"M",27,14.36,25.82,38.8,2024
"Pink61","Orange29",2024-06-07,"M",28,15.14,25.4,38.45,2024
"Pink61","Orange29",2024-06-07,"M",29,15.78,26.12,38.55,2024
"Pink61","Orange29",2024-06-07,"M",30,16.88,26.01,39.05,2024
"Pink55","Orange27",2024-06-10,"M",0,NA,NA,NA,2024
"Pink55","Orange27",2024-06-10,"M",1,NA,NA,NA,2024
"Pink55","Orange27",2024-06-10,"M",2,4.88,23.76,20.4,2024
"Pink55","Orange27",2024-06-10,"M",3,5.39,23.55,20.85,2024
